NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,PAKIRANJE,MARKA,MALOPRODAJNA_CIJENA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Mirisni osvježivaè prostora SK18,0161698,0.148,150ml,PET-Boca,W5,1.69,11.27,4335619040786,Sredstva za èišæenje,1.69
Dimljena tuna SK2,6210738,0.16,160g,Kart. na prekl.,Nixe,2.39,22.98,4056489771685,Hrana,2.39
Melomakarona medenjaci,6211298,0.22,220g,Kart. na prekl.,Eridanous,3.66,16.64,4056489906148,Hrana,Nije_bilo_u_prodaji_02.05.2025
Feta sir,6211913,0.2,200g,Pakovanje,Deluxe,2.24,11.2,4335619096646,Hrana,2.24
Kava s aromom SK1,6211933,0.2,200g,Vrecica,Bellarom,6.89,34.45,4335619096677,Piæe,5.7
Kava s aromom SK1,6211933,0.2,200g,Vrecica,Bellarom,6.89,34.45,4335619096684,Piæe,5.7
Mexiko-Mix,6400493,1,1kg,Vrecica,Freshona,2.33,2.33,20093914,Hrana,2.33
Kukuruzni snack s okusom èilija,6400718,0.07,70g,Vrecica,Alesto,0.69,9.86,20947286,Hrana,0.69
Pureæi odrezak iz filea,6401075,0.45,450g,Atmos-Pakiranje,-,5.29,11.76,20138431,Hrana,5.29
Šeæer u prahu,6401081,0.5,500g,Vrecica,Belbake,0.99,1.98,20754761,Hrana,0.99
Smeði šeæer,6401082,0.5,500g,Pakovanje,Belbake,0.99,1.98,20754778,Hrana,0.99
Hell Sugarfree Energy Drink,6401929,0.257,"0,25l",Limenka,,1.09,4.36,5999884034445,Piæe,0.92
Tonic SK1,6906124,1.008,1l,PET-Boca,-,0.99,0.99,4056489610533,Piæe,0.99
PIK Fina šunka narezana XXL,6906138,0.3,300g,Pakovanje,,4.49,14.97,3850139241112,Hrana,4.49
Ukrasna vreæica 23x18x10cm,6906193,0.044,1komad,Pakovanje,,1.29,1.29,3856023029514,Proizvodi za kuæanstvo,1.29
"Dukat Èokoladno mlijeko, 1l",6906227,1,1l,Boca,,2.39,2.39,3850354007661,Hrana,2.39
"Jaja iz podnog uzgoja, razred M",6906363,1.044,18komad,Pakovanje,Okusi zavièaja,4.39,0.24,4056489926900,Hrana,4.19
Sladoled Triple SK2,0137318,0.308,4x130ml,Kart. na prekl.,Bon Gelati,2.79,5.37,4056489424888,Hrana,2.79
Sladoled Triple SK2,0137318,0.308,4x130ml,Kart. na prekl.,Bon Gelati,2.79,5.37,4056489424895,Hrana,2.79
Hugo SK1,0137660,0.2,"0,2l",Limenka,Allini,1.29,6.45,4304493268548,Piæe,1.29
TK Smoothies SK6,0137844,0.45,450g,Vrecica,-,2.98,6.62,40881898,Hrana,2.98
Namaz svježi sirSK48,0138068,0.097,"100g,90g",Pakovanje,Deluxe,1.99,19.9,20112080,Hrana,1.99
Djeèje pelene XL,0138089,1.09,30komad,Pakovanje,Lupilu,4.49,0.15,20112370,Proizvodi za kuæanstvo,4.49
Zaèini za kolaèe SK1,0138251,0.025,25g,Vrecica,Belbake,0.99,0.99,4056489005711,Hrana,0.99
"Tuna u salamuri, ATG: 168g",0138481,0.24,3x80g,Limenka,Nixe,2.65,15.77,20117153,Hrana,2.65
Krema za lice SK5,0138687,0.05,50ml,Kart. na prekl.,Cien Nature,1.93,1.93,4056489345879,Kozmetika,1.93
Krema za lice SK5,0138687,0.05,50ml,Kart. na prekl.,Cien Nature,1.93,1.93,4056489345886,Kozmetika,1.93
Surimi štapiæi,0138945,0.3,300g,Vrecica,Vitasia,1.89,6.3,20137533,Hrana,1.89
Losos u lisnatom tijestu SK1,0139243,0.7,700g,Kart. na prekl.,Deluxe,9.99,14.27,20158323,Hrana,9.99
Briketi za roštilj Bioles Horizont,7305767,3,3kg,Vreca,,3.19,3.19,3859888141070,Proizvodi za kuæanstvo,3.19
Vrtna svijeæa Citronela,7305872,0.6,1komad,Rasuto,,3.49,3.49,3830012523771,Proizvodi za kuæanstvo,Nije_bilo_u_prodaji_02.05.2025
Kroasan s pistacijom,7307980,0.36,360g,Vrecica,Deluxe,3.55,9.86,4056489937890,Hrana,3.55
Dimljena lopatica s kožom u mreži,7308705,1,ca.600g,Vakumir. pakov.,,4.85,4.85,2800352000000,Hrana,4.85
Maslac s Camargue morskom soli,7400119,0.25,250g,Pakovanje,Deluxe,3.49,13.96,20612610,Hrana,2.99
Mini lisnato,7404662,0.08,80g,Box,Deluxe,1.39,17.38,4056489048558,Hrana,1.39
Svježi Macaronsi jesenske sorte,7406348,0.144,12x12g,Blister,Confiserie Firenze,3.79,26.32,4056489365136,Hrana,3.79
Schogetten SK92,0002838,0.1,100g,Tabla,,1.29,12.9,4000415004408,Hrana,1.29
Schogetten SK92,0002838,0.1,100g,Tabla,,1.29,12.9,4000415079604,Hrana,1.29
Schogetten SK92,0002838,0.1,100g,Tabla,,1.29,12.9,4000415087609,Hrana,1.29
Schogetten SK92,0002838,0.1,100g,Tabla,,1.29,12.9,4000415729202,Hrana,1.29
Schogetten SK92,0002838,0.1,100g,Tabla,,1.29,12.9,4000415992804,Hrana,1.29
Schogetten SK92,0002838,0.1,100g,Tabla,,1.29,12.9,4000607151101,Hrana,1.29
Mini kokos prutiæi,0002844,0.35,350g,Vrecica,Mister Choc,3.59,10.26,4056489232407,Hrana,3.59
Müsli prutiæi SK50,0002858,0.2,200g,Kart. na prekl.,Crownfield,1.65,8.25,20080693,Hrana,1.65
Müsli prutiæi SK50,0002858,0.2,200g,Kart. na prekl.,Crownfield,1.65,8.25,20104221,Hrana,1.65
Mini èokoladne banane,0002859,0.2,200g,Vrecica,Mister Choc,1.61,8.05,20044749,Hrana,1.79
"Ferrero Raffaello 15 komada, 150g",0002870,0.15,150g,Pakovanje,,3.99,26.6,5413548040592,Hrana,3.99
Grèko predjelo SK1,0151685,0.39,"380g,400g",Plitica,Eridanous,4.69,12.34,4056489231622,Hrana,3.69
Mješavina orašastih plodova SK5,0152058,0.2,200g,Samost.vreca,Alesto,3.99,19.95,20353032,Hrana,3.99
Mješavina orašastih plodova SK5,0152058,0.2,200g,Samost.vreca,Alesto,3.99,19.95,20559618,Hrana,3.99
Exotic mix,0152060,0.06,60g,Vrecica,Alesto,1.19,19.83,20559588,Hrana,1.19
Sladoled SK1,0152614,0.173,3x90ml,Kart. na prekl.,MCENNEDY,2.99,11.07,4056489248477,Hrana,2.99
Pjenušac suhi,0152671,0.75,"0,75l",Boca,Burg Schöneck,2.99,3.99,4056489237402,Piæe,2.99
Premium Sushi SK1,0152782,0.178,"168g,178,5g,185g",Pakovanje,select & go,3.79,21.23,4056489250180,Hrana,3.79
Dressing ljetni SK2,0152964,0.255,250ml,Staklo,Kania,1.79,7.16,4335619170957,Hrana,1.79
Grèka predjela,0153181,0.15,150g,Plitica,Chef Select,2.39,15.93,4056489241928,Hrana,2.39
Tuna u sunc. ulju (ATG 3x52g),0153391,0.21,3x70g,Limenka,Nixe,2.49,15.96,4056489262282,Hrana,2.49
Wakame salata SK1,0153467,0.1,100g,Plitica,Vitasia,1.89,18.9,4056489262466,Hrana,1.89
Pileæa prsa XXL SK8,0153481,0.4,400g,Atmos-Pakiranje,Dulano,4.99,12.48,4056489234159,Hrana,4.99
Mljevena kava SK1,0153488,0.25,250g,Limenka,Deluxe,6.99,27.96,4056489262602,Piæe,6.99
Gumeni bomboni voæni jogurt,0153599,0.2,200g,Vrecica,Sweet Corner,1.19,5.95,4056489267294,Hrana,1.19
Hrskavi mlijeèni desert vanilija,0153698,0.35,650ml,Kart. na prekl.,Gelatelli,2.49,3.83,4056489267805,Hrana,2.49
Eau de Parfum SK6,0153747,0.063,75ml,Kart. na prekl.,Suddenly,6.49,86.53,4056489268079,Kozmetika,6.49
Toaletna voda za muškarce SK5,0153751,0.063,75ml,Kart. na prekl.,G. Bellini,6.49,86.53,4056489545606,Kozmetika,6.49
Donut Pinky 4kom.,0153773,0.212,212g,Blister,,1.99,9.39,4056489268338,Hrana,1.99
Nacho umak,0153970,0.205,205g,Plitica,El Tequito,3.29,16.05,20958909,Hrana,3.29
Grickalice za pse SK6,0169319,0.14,"105g,135g,180g",Vrecica,Orlando,0.89,6.59,4056489333616,Proizvodi za kuæanstvo,0.89
Grickalice za pse SK6,0169319,0.14,"105g,135g,180g",Vrecica,Orlando,0.89,8.48,4056489333623,Proizvodi za kuæanstvo,0.89
Punjena tjestenina,0169478,0.25,250g,Vrecica,Deluxe,2.89,11.56,4056489868866,Hrana,2.89
Maramice,0170095,0.477,180Blatt,Pakovanje,,2.19,2.19,5200132752685,Proizvodi za kuæanstvo,2.19
Hummus SK33,0170159,0.2,200g,Plitica,Chef Select,1.39,6.95,4056489545804,Hrana,1.39
Hummus SK33,0170159,0.2,200g,Plitica,Chef Select,1.39,6.95,4056489545811,Hrana,1.39
Kocke sira u repièinom ulju 45% SK1,0170443,0.35,350g,Staklo,Eridanous,3.29,9.4,4056489550785,Hrana,3.29
Kocke sira u repièinom ulju 45% SK1,0170443,0.35,350g,Staklo,Eridanous,3.29,9.4,4056489550792,Hrana,3.29
Sredstvo za èišæenje SK1,0170595,0.997,1l,PET-Boca,W5,2.29,2.29,4056489554318,Sredstva za èišæenje,2.29
Churros SK1,0170832,0.225,225g,Kart. na prekl.,Sol&Mar,2.29,10.18,4056489558828,Hrana,2.29
Sauvignon Blanc Pays d'Oc IGP,0074337,0.75,"0,75l",Boca,Chevalier de Fauvert,3.99,5.32,4056489790563,Piæe,3.99
Tjestenina bez glutena SK4,0074516,0.5,500g,Vrecica,free from,1.99,3.98,20284244,Hrana,1.99
Philips Aparat za šišanje,0391058,0.264,1ST,Pakovanje,,10,10,8710103859673,Kozmetika,10
Smrznute borovnice,0173945,0.5,500g,Vrecica,Freshona,3.79,7.58,4056489620099,Hrana,3.79
Mie tjestenina,0174568,0.25,250g,Pakovanje,Vitasia,1.19,4.76,4056489617822,Hrana,1.19
Cappuccino Sticks SK22,0174748,0.156,"142g,170g",Kart. na prekl.,Bellarom,1.79,10.53,4052917450917,Piæe,1.79
"Poslastica za pse, SK4",0175839,0.4,400g,Vrecica,Orlando,1.29,3.23,4056489621126,Proizvodi za kuæanstvo,1.29
Èokoladne pahuljice XXL SK4,0176893,0.9,900g,Kart. na prekl.,Crownfield,3.99,4.43,4056489021506,Hrana,3.99
Delikatesna pašteta,0178429,0.15,150g,Vrecica,Deluxe,1.29,8.6,20320416,Hrana,1.29
Bio dj. voæna kašica Banana-jabuka,0179374,0.19,190g,Staklo,Lupilu,0.85,4.47,4056489688273,Hrana,0.85
Ledo Bulgur mješavina smrznuta,6905590,0.4,400g,Vrecica,,2.19,5.48,3850116036052,Hrana,2.19
Meðimurski domaæi kuhani sir SK3,6905626,0.5,500g,Vakumir. pakov.,Okusi zavièaja,3.99,7.98,4056489316596,Hrana,5.69
Boom Box Zobeni napitak s bademom,6905664,1,1l,Pakovanje,,2.79,2.79,3858890476927,Hrana,2.79
Boom Box Zobeni keksi brusnica,6905673,0.05,50g,Pakovanje,,0.89,17.8,3858890476804,Hrana,0.89
Kraš PreKrašni Kol. sa pun. od lim.,6905692,0.22,220g,Vrecica,,1.89,8.59,3850102011216,Hrana,1.89
BO Domaæi klipiæ punjen šu. i sir.,6905746,0.07,70g,Rasuto,,0.99,14.14,3858889618185,Hrana,0.99
Borotalco Deo Roll-on Original,6905769,0.05,50ml,Pakovanje,,3.69,73.8,80453000,Kozmetika,3.69
ABC Svježi krem sir FIT,6905797,0.1,100g,Posudica,,1.15,11.5,3850257060749,Hrana,1.15
Stiegl-Goldbräu Premium svij. pivo,6905817,0.504,"0,5l",Limenka,,1.88,3.76,90034558,Piæe,1.88
Tost kruh (Pan Carr?),6000931,0.33,330g,Pakovanje,Tastino,0.79,2.39,20034306,Hrana,0.79
Guanciale,6001019,0.1,100g,Atmos-Posudica,Italiamo,2.59,25.9,20499044,Hrana,2.59
Rižoto SK5,6001161,0.175,175g,Vrecica,Kania,1.29,7.37,20499830,Hrana,1.29
Rižoto SK5,6001161,0.175,175g,Vrecica,Kania,1.29,7.37,20499983,Hrana,1.29
Sir toskanski SK3,6001274,0.15,150g,Vakumir. pakov.,Deluxe,3.99,26.6,20446260,Hrana,3.99
"Quattro sladoled, 1kg",6001940,1,1000g,Plitica,Gelatelli,5.39,3.17,20684808,Hrana,5.39
Svježi medaljoni od povræa SK1,6003029,0.25,250g,Atmos-Posudica,Vemondo,2.59,10.36,20685812,Hrana,2.59
Grana Padano DOP 14M u kockicama,6007311,0.3,300g,Vrecica,Italiamo,5.19,17.3,20158545,Hrana,5.19
Mlijeèni desert vanil. i èoko. SK3,5701233,0.135,"130g,140g",Pakovanje,Sol&Mar,1.59,11.36,20705541,Hrana,1.59
Chorizo salama narezana,5701595,0.1,100g,Atmos-Posudica,Sol&Mar,1.79,17.9,20645113,Hrana,1.79
Chorizo extra Sarta salama SK2,5701702,0.2,200g,Atmos-Pakiranje,Sol&Mar,2.69,13.45,20645090,Hrana,2.69
Proljetne rolice,5702423,0.28,280g,Atmos-Posudica,Vitasia,2.69,9.61,20295929,Hrana,2.69
Siao Long Pao SK2,5704408,0.24,"230g,250g",Atmos-Posudica,Vitasia,3.99,15.96,20796518,Hrana,3.99
Tvrdi sir SK3,5704773,0.22,220g,Vakumir. pakov.,Sol&Mar,4.29,19.5,20645243,Hrana,4.29
Tvrdi sir SK3,5704773,0.22,220g,Vakumir. pakov.,Sol&Mar,4.29,19.5,4056489139959,Hrana,4.29
Bezalkoholno piæe od jagode SK1,5706633,0.765,750ml,PET-Boca,Solevita,2.29,3.05,4304493260078,Hrana,2.29
Bio wellness èaj SK7,5707655,0.024,12x2g,Karton,Lord Nelson,2.89,120.42,20189105,Piæe,2.89
Gabriel Sirutka od kozjeg mlijeka,6906390,0.5,500ml,PET-Boca,,0.95,1.9,3859892805548,Hrana,0.95
Gabriel kefir od kozjeg mlijeka,6906391,0.5,500ml,PET-Boca,,2.19,4.38,3859892805562,Hrana,2.19
Nivea Men Cr. Styl.Gel za kosu SK1,6906400,0.15,150ml,Tuba,,5.79,38.6,9005800318349,Kozmetika,5.79
Labello Balzam za usne,6906407,0.005,"4,8g",Pakovanje,,2.99,2.99,4005808764006,Kozmetika,2.99
Ljetni stakloper,6906433,5.05,5l,PET-Boca,,1.89,0.38,3859888770621,Proizvodi za kuæanstvo,1.89
"Nila Color, 68 pranja",6906444,3.796,"3,7l",PET-Boca,,4.99,0.07,3850105182951,Sredstva za èišæenje,4.99
Ornel Omekšivaè Flower Garden RETRO,6906447,3.75,"3,75l",PET-Boca,,4.25,0.03,3850105183040,Sredstva za èišæenje,4.25
BO Domaæi bakin kruh s kis. tijest.,6906466,0.47,470g,Rasuto,,1.69,3.6,3859893136672,Hrana,1.69
Cedevita instant napitak SK1,6906472,0.455,455g,Vrecica,,3.95,8.68,3850322014882,Piæe,4.19
Cedevita instant napitak SK1,6906472,0.455,455g,Vrecica,,3.95,8.68,3850322016268,Piæe,4.19
Cedevita Instant napitak Limun,6906474,0.9,900g,Pakovanje,,6.39,7.1,3850322015001,Piæe,6.39
"Pilsner Urquell 4,4%",6906484,2,"4x0,5l",Limenka,,6.11,3.06,8594404005409,Piæe,6.11
Boom Box Zobeni napitak lješnjak,6906490,1,1l,Pakovanje,,2.49,2.49,3858890476989,Piæe,2.49
Kandit Choco Banana Uskrs,6906499,0.28,280g,Kart. na prekl.,,1.46,5.21,3856024803458,Hrana,1.46
Kuhinjski ubrusi 4x50 listiæa 2-sl.,6906522,0.397,4x50Blatt,Pakovanje,Floralys,1.29,0.32,4056489610960,Proizvodi za kuæanstvo,1.29
Mini JAP SK2,6906540,0.097,100ml,Boca,Alliance,1.19,11.9,20254780,Piæe,1.19
"Le Coq Cocktail Blue Lagoon 4,7%",6906608,0.33,330ml,Boca,,1.52,4.61,4740098090601,Piæe,1.52
Spirits of Croatia Teranino 16% ,6906673,0.5,"0,5l",Boca,,7.99,15.98,3859894287021,Piæe,7.99
Pivac Èajna narezak,6906717,0.08,80g,Atmos-Pakiranje,,1.19,14.88,3858884997131,Hrana,1.19
Baklava s orasima i višnjama,6907004,0.5,500g,Pakovanje,1001 delights,3.79,7.58,4056489611295,Hrana,3.79
PIK Pureæa šunka peèena,6907016,0.1,100g,Pakovanje,,1.89,18.9,3850139522150,Hrana,1.89
Pivac Dalm. pršut,6907042,0.5,500g,Atmos-Pakiranje,,10.99,21.98,3858890183306,Hrana,10.99
Svježi filet brancina,6907049,0.37,370g,Atmos-Pakiranje,Naša ribarnica,9.99,27,3859893969980,Hrana,9.99
Proteini.si Protein bar jabuka,6907078,0.055,55g,Pakovanje,,1.15,20.91,3830081423477,Hrana,1.15
Proteini.si 100% Vegan Proteini èok,6907087,0.5,500g,Vrecica,,12.39,24.78,3830075229504,Hrana,12.39
Chupa Chups lizalice,6907097,0.012,12g,Pakovanje,,0.39,0.39,84196675,Hrana,0.39
WC Net Blue Fresh Gel za èišæenje,6907113,1.5,2x750ml,Pakovanje,,3.15,2.1,3859892558796,Sredstva za èišæenje,3.15
Ornel Omekšivaè za rublje 96pr. SK1,6907137,2.4,"2,4l",PET-Boca,,5.99,2.5,3850105182258,Sredstva za èišæenje,6.59
Rexona Dezodorans SK1,6907181,0.15,150ml,Pakovanje,,4.69,31.27,8711600350212,Kozmetika,4.69
Annyer Revital Šampon kop./bre. SK2,6907210,0.3,300ml,Pakovanje,,2.25,7.5,3850177005509,Kozmetika,2.25
Annyer Revital Šam. èiè./reg. SK2,6907214,0.3,300ml,Pakovanje,,2.25,7.5,3850177005158,Kozmetika,2.25
Annyer Revital Šam. èiè./reg. SK2,6907214,0.3,300ml,Pakovanje,,2.25,7.5,3850177005523,Kozmetika,2.25
Istarska panceta narezak,6907237,0.1,100g,Atmos-Pakiranje,Okusi zavièaja,2.99,29.9,4056489611783,Hrana,2.99
Emmentaler,6907249,0.7,700g,Vakumir. pakov.,,5.75,8.21,3859894087126,Hrana,5.75
'z bregov Protein puding karamela,6907262,0.18,180g,Posudica,,1.09,6.06,3850108040890,Hrana,1.09
"Pureæi zabatak, cca. 750g",6407800,1,ca. 750g,Atmos-Pakiranje,-,6.99,6.99,2894190000000,Hrana,6.99
Izotonièni napitak šumska jagoda,6408050,0.5,500ml,PET-Boca,Optisana Sports,0.89,1.78,4304493260283,Piæe,0.99
Goldenfood File paèjih prsa,6410893,1,"cca. 0,4-0,6kg",Vakumir. pakov.,,9.99,9.99,2898039000000,Hrana,9.99
Goldenfood File paèjih prsa,6410893,1,"cca. 0,4-0,6kg",Vakumir. pakov.,,9.99,9.99,5996383780665,Hrana,9.99
Tekuæi deterdžent Extra univerzalni,6415302,4,4000ml,Pakovanje,,5.99,1.5,4820196011415,Sredstva za èišæenje,5.99
Margarin,6507957,1,1000g,Pakovanje,Vita D'or,1.99,1.99,4056489072812,Hrana,1.99
Umak na azijski naèin SK4,6600131,0.25,250ml,Boca,Vitasia,1.99,7.96,20121440,Hrana,1.99
Mini sladoledni desert SK1,6601297,0.1,140ml,Plitica,Deluxe,1.22,8.71,20597849,Hrana,1.22
Amerièki sladoled SK16,6601570,0.43,"485ml,500ml",Posudica,Gelatelli,3.99,7.98,20396169,Hrana,3.99
Amerièki sladoled SK16,6601570,0.43,"485ml,500ml",Posudica,Gelatelli,3.99,8.23,20396183,Hrana,3.99
Amerièki sladoled SK16,6601570,0.43,"485ml,500ml",Posudica,Gelatelli,3.99,7.98,20559687,Hrana,3.99
Amerièki sladoled SK16,6601570,0.43,"485ml,500ml",Posudica,Gelatelli,3.99,8.23,20559694,Hrana,3.99
Amerièki sladoled SK16,6601570,0.43,"485ml,500ml",Posudica,Gelatelli,3.99,7.98,4056489220299,Hrana,3.99
Uskrsni kolaè maslac èokolada SK3,6602337,0.3,300g,Samost.vreca,Favorina,1.99,6.63,20347390,Hrana,1.99
Žele bomboni SK1,6603918,0.2,200g,Samost.vreca,Sweet Corner,1.61,8.05,20714703,Hrana,1.79
Majoneza u tubi,6610881,0.19,190ml,Tuba,Kania,1.39,7.32,4056489682325,Hrana,1.39
Premium sladoled SK1,6610962,0.423,500ml,Posudica,Gelatelli,3.99,7.98,4056489792574,Hrana,3.99
Premium sladoled SK1,6610962,0.423,500ml,Posudica,Gelatelli,3.99,7.98,4056489792598,Hrana,3.99
Èokoladni kolaèiæi s kikirikijem,6611369,0.15,150g,Pakovanje,Sondey,1.59,10.6,4056489794349,Hrana,1.59
Univerzalna krpa,6612435,0.1,4komad,Pakovanje,W5,1.99,0.5,4056489793809,Proizvodi za kuæanstvo,1.99
Kikiriki èokoladni draže SK1,6612902,0.2,200g,Pakovanje,Alesto,1.99,9.95,4335619041936,Hrana,1.99
Hrskavi muesli SK1,6700459,0.35,350g,Kart. na prekl.,Crownfield,1.85,5.29,20310615,Hrana,2.05
Valencia D.O. Semi Seco Blanco Jove,0146186,0.75,"0,75l",Boca,Viajero,3.49,4.65,4056489102458,Piæe,3.49
Razlièiti deserti SK11,0146235,0.5,500g,Pakovanje,Deluxe,3.79,7.58,4056489102694,Hrana,3.79
"Pink Gin 37,5% Vol.",0146765,0.72,"0,7l",Boca,Castelgy,7.99,11.41,4304493270046,Piæe,7.99
Barista Crema zrno RFA,0147436,1,1kg,Vrecica,Bellarom,17.99,17.99,4056489817765,Piæe,14.99
"Svježi filet lososa, cca.1kg",0148255,1,cca.1kg,Vakumir. pakov.,,13.99,13.99,2869227000000,Hrana,13.49
"Svježi filet lososa, cca.1kg",0148255,1,cca.1kg,Vakumir. pakov.,,13.99,13.99,2869228000000,Hrana,13.49
Mesnata slanina XXL,0142363,0.3,2x150g,Pakovanje,Dulano,2.49,8.3,4056489020615,Hrana,3.19
Jednokratni drv. pribor za jelo SK1,0142492,0.057,20komad,Kart. na prekl.,Grillmeister,0.99,0.05,4056489021247,Proizvodi za kuæanstvo,0.99
Bella Caffe DG Caffe Effi. Box Esp.,0142600,0.096,96g,Kart. na prekl.,Bellarom,3.79,39.48,20357924,Piæe,3.79
Bella Caffe DG Caffe Cortado UTZ,0142677,0.101,"100,8g ",Kart. na prekl.,Bellarom,3.79,37.6,8718657493350,Piæe,3.79
Žitarice SK2,0142679,0.5,500g,Vrecica,Campo Largo,1.19,2.38,4056489019473,Hrana,1.19
Èaj u piramida vreæicama UTZ SK36,0143058,0.036,"20x1,6g,20x2g",Kart. na prekl.,Lord Nelson,1.99,1.99,4056489024286,Piæe,1.99
Grickalice za pse premium SK4,0143111,0.1,100g,Vrecica,Orlando Pure Taste,2.99,29.9,4056489024699,Proizvodi za kuæanstvo,2.99
Papirnati tanjuri,0143122,0.19,10komad,Pakovanje,Grillmeister,1.99,0.2,4056489024743,Proizvodi za kuæanstvo,1.99
BO Milka Donut,0143246,0.056,56g,Rasuto,,0.69,12.32,4065698001544,Hrana,0.69
Pan. pil. innerfile Cornf. panada,6904316,1,ca.500g,Atmos-Posudica,Gourmet,9.25,9.25,2835161000000,Hrana,9.25
"Proviact tekuæi jogurt 1,0%",6904320,1,1kg,PET-Boca,Pilos,1.59,1.59,4304493260122,Hrana,1.59
BO Domaæa pogaèa,6904332,0.3,300g,Rasuto,,0.99,3.3,4052917232025,Hrana,0.99
Bohem kolaè,6904358,0.42,420g,Pakovanje,Okusi zavièaja,5.99,14.26,4056489074311,Hrana,5.99
Cedevita Fresh SK1,6904371,0.34,340ml,PET-Boca,,1.12,3.29,3850322013380,Piæe,1.12
"Svježe pile, cca. 2kg",6904372,1,ca. 2kg,Vrecica,,3.19,3.19,2146200000001,Hrana,3.19
"Dimljena šunka s kosti, cca. 6kg",6904437,1,ca. 6kg,Vakumir. pakov.,Pikok,4.89,4.89,2845190035863,Hrana,4.89
"Dimljena šunka s kosti, cca. 6kg",6904437,6,ca. 6kg,Vakumir. pakov.,Pikok,4.89,4.89,2845192000000,Hrana,4.89
"Dimljena šunka s kosti, cca. 6kg",6904437,6,ca. 6kg,Vakumir. pakov.,Pikok,4.89,4.89,2845195000000,Hrana,4.89
VGuard dezinfekcijski spray 2u1,6904439,0.1,100ml,PET-Boca,,1.89,18.9,3858891051949,Kozmetika,1.89
Karlovaèko Svijetlo pivo 5% ,6904468,2,2l,PET-Boca,,3.42,1.71,3850103902162,Piæe,3.62
Premium sladoled SK11,0133116,0.427,500ml,Posudica,Gelatelli,3.99,7.98,20091941,Hrana,3.99
Gumeni bomboni - voæni,0133244,0.3,300g,Vrecica,Sweet Corner,1.79,5.97,40879291,Hrana,1.79
Sladoled štapiæi,0133318,0.25,"6x51ml,6x53ml,6x50ml",Kart. na prekl.,Gelatelli,2.34,7.65,4056489814870,Hrana,Nije_bilo_u_prodaji_02.05.2025
Sladoled kornet bez glutena,0133323,0.3,4x125ml,Kart. na prekl.,Gelatelli,4.49,8.98,20632984,Hrana,4.49
Bio mlijeèna èokolada,0134426,0.1,100g,Tabla,Fairglobe,1.29,12.9,40896250,Hrana,1.29
Bio zobene pahuljice,0134634,0.5,500g,Pakovanje,Crownfield,0.99,1.98,40897677,Hrana,0.99
Chinois SK1,0134907,0.4,400g,Vrecica,Duc de Coeur,2.99,7.48,20712518,Hrana,2.99
Francuski èips SK25,0134947,0.2,200g,Vrecica,Duc de Coeur,1.39,6.95,20771126,Hrana,1.39
Njega za pranje beba SK5,0135048,0.511,500ml,PET-Boca,Lupilu,2.25,4.5,4056489233114,Kozmetika,2.25
Njegujuæe ulje za bebe,0135051,0.276,300ml,PET-Boca,Lupilu,2.69,8.97,4056489241850,Kozmetika,2.69
Zaštitna krema za bebe SK1  ,0135052,0.103,100ml,Tuba,Lupilu,2.25,22.5,20008888,Kozmetika,2.25
Zaštitna krema za bebe SK1  ,0135052,0.103,100ml,Tuba,Lupilu,2.25,22.5,4056489241812,Kozmetika,2.25
Händlmaier Slatki senf,0135119,0.335,335ml,Staklo,,2.39,7.13,41047231,Hrana,2.39
PPK Roštilj kobasica sa sirom i sl.,6906721,0.36,360g,Vakumir. pakov.,,3.15,8.75,3858881613959,Hrana,3.15
Ukrasna vreæica 32x26x12cm,6906786,0.08,1komad,Pakovanje,,1.45,1.45,3856023014183,Proizvodi za kuæanstvo,1.45
Det. za ruèno pranje posuða SK9,5525905,1.025,1l,PET-Boca,-,1.09,1.09,4056489811282,Sredstva za èišæenje,1.09
Sreds. za pranje posuða balsam SK1,5528497,0.51,500ml,PET-Boca,W5,0.99,1.98,4056489261094,Sredstva za èišæenje,0.99
"Crni èaj Selection SK1, 40x1,5g",5528847,0.073,"40x1,5g,40x2g",Kart. na prekl.,Lord Nelson,1.19,19.83,4056489261384,Piæe,1.19
"Crni èaj Selection SK1, 40x1,5g",5528847,0.073,"40x1,5g,40x2g",Kart. na prekl.,Lord Nelson,1.19,14.88,4056489261384,Piæe,1.19
"Instant napitak 3u1, 10x18g",5529662,0.18,180g,Vrecica,Bellarom,1.25,6.94,4056489586456,Piæe,1.49
Svježi sir,5532223,0.275,275g,Pakovanje,Pilos,2.39,8.69,4056489301806,Hrana,2.29
Svježi sir,5532223,0.275,275g,Pakovanje,Pilos,2.39,8.69,5902476010550,Hrana,2.29
Univ. bio. vl. maram. za èiš. SK1,5532381,0.476,80komad,Pakovanje,W5,1.99,0.02,4056489304241,Proizvodi za kuæanstvo,1.99
"Pureæi filet XXL, cca. 1-1,5 kg",5533555,1,"ca.1-1,5kg",Vakumir. pakov.,RZEZNIK,7.69,7.69,2835555000000,Hrana,7.75
"Pureæi filet XXL, cca. 1-1,5 kg",5533555,1,"ca.1-1,5kg",Vakumir. pakov.,RZEZNIK,7.69,7.69,2894252000000,Hrana,7.75
"Pureæi filet XXL, cca. 1-1,5 kg",5533555,1,"ca.1-1,5kg",Vakumir. pakov.,RZEZNIK,7.69,7.69,2894254000000,Hrana,7.75
